,canonical_composer,draft_key,category,silhouette
BoN-PCA2,0.4457000360032619,0.5135501125622779,0.4238571028244027,0.34052224169599454
BoN-ISO2,0.408036406212992,0.49698685754331134,0.3796414617153111,0.3825644925108732
nBoN-PCA2,0.5216701248117152,0.7808906202808027,0.6060551090813852,0.3813677305661794
nBoN-ISO2,0.46125146299887276,0.7212045834487197,0.4803198270004532,0.3263144478537913
VW-nBoN-PCA2,0.5163455008452752,0.7559196311866593,0.5417797818780817,0.3394277964571755
VW-nBoN-ISO2,0.45171407199092567,0.7672462868617301,0.4686611785468904,0.2652399885560855
DW-nBoN-PCA2,0.5135935498391543,0.7218144077710951,0.574749539004937,0.3102540357951921
DW-nBoN-ISO2,0.4874991815470009,0.778475747573873,0.5049501789080114,0.2727754367236224
VDW-nBoN-PCA2,0.4855128133488929,0.7388643009306903,0.5540813586851114,0.31184195791655905
VDW-nBoN-ISO2,0.5056126153455445,0.7598369334429806,0.5484411996300667,0.3378566780833421
nBoDN-PCA2,0.534232445452288,0.7677945246686597,0.5722122597189226,0.3486009801551329
nBoDN-ISO2,0.5478065978390767,0.762343793141444,0.5968745766234094,0.3734593991148924
BoC-PCA2,0.46378780892804716,0.6723389553455371,0.43439752664344194,0.32653786308275556
BoC-ISO2,0.46212415052056083,0.6705531456460889,0.5279861114092471,0.31280996236866365
BoDC-PCA2,0.5289412472851421,0.7641302605595609,0.5852340927498703,0.33147088033363925
BoDC-ISO2,0.48476871150145384,0.7306534424328095,0.5623419625468489,0.27004609155209863
NfIsf-PCA2,0.425202934054516,0.4628703918501504,0.3568180850445854,0.38706344651324726
NfIsf-ISO2,0.397975158138842,0.40881371706944686,0.3253225097308613,0.3056375582118203
